loc_idx,s1,s2
1,0.5,0.5
2,1.5000000000000002,0.5
3,2.5000000000000004,0.5
4,3.5,0.5
5,4.500000000000001,0.5
6,5.5,0.5
7,6.5,0.5
8,7.5,0.5
9,8.500000000000002,0.5
10,9.5,0.5
11,10.5,0.5
12,11.5,0.5
13,12.5,0.5
14,13.500000000000002,0.5
15,14.5,0.5
16,15.5,0.5
17,16.500000000000004,0.5
18,17.5,0.5
19,18.5,0.5
20,19.5,0.5
21,20.5,0.5
22,21.5,0.5
23,22.5,0.5
24,23.5,0.5
25,24.5,0.5
26,25.5,0.5
27,26.500000000000004,0.5
28,27.499999999999996,0.5
29,28.5,0.5
30,29.5,0.5
31,30.5,0.5
32,31.5,0.5
33,32.50000000000001,0.5
34,33.5,0.5
35,34.5,0.5
36,35.5,0.5
37,36.5,0.5
38,37.50000000000001,0.5
39,38.5,0.5
40,39.5,0.5
41,40.5,0.5
42,41.5,0.5
43,42.5,0.5
44,43.5,0.5
45,44.5,0.5
46,45.5,0.5
47,46.5,0.5
48,47.5,0.5
49,48.5,0.5
50,49.5,0.5
51,50.5,0.5
52,51.5,0.5
53,52.50000000000001,0.5
54,53.5,0.5
55,54.49999999999999,0.5
56,55.5,0.5
57,56.5,0.5
58,57.5,0.5
59,58.5,0.5
60,59.49999999999999,0.5
61,60.5,0.5
62,61.49999999999999,0.5
63,62.5,0.5
64,63.5,0.5
65,64.50000000000001,0.5
66,65.5,0.5
67,66.5,0.5
68,67.50000000000001,0.5
69,68.5,0.5
70,69.50000000000001,0.5
71,70.5,0.5
72,71.5,0.5
73,72.5,0.5
74,73.5,0.5
75,74.50000000000001,0.5
76,75.5,0.5
77,76.5,0.5
78,77.5,0.5
79,78.5,0.5
80,79.5,0.5
81,80.5,0.5
82,81.50000000000001,0.5
83,82.5,0.5
84,83.5,0.5
85,84.5,0.5
86,85.5,0.5
87,86.5,0.5
88,87.5,0.5
89,88.5,0.5
90,89.5,0.5
91,90.5,0.5
92,91.5,0.5
93,92.5,0.5
94,93.5,0.5
95,94.5,0.5
96,95.5,0.5
97,96.5,0.5
98,97.5,0.5
99,98.5,0.5
100,99.5,0.5
101,0.5,1.5000000000000002
102,1.5000000000000002,1.5000000000000002
103,2.5000000000000004,1.5000000000000002
104,3.5,1.5000000000000002
105,4.500000000000001,1.5000000000000002
106,5.5,1.5000000000000002
107,6.5,1.5000000000000002
108,7.5,1.5000000000000002
109,8.500000000000002,1.5000000000000002
110,9.5,1.5000000000000002
111,10.5,1.5000000000000002
112,11.5,1.5000000000000002
113,12.5,1.5000000000000002
114,13.500000000000002,1.5000000000000002
115,14.5,1.5000000000000002
116,15.5,1.5000000000000002
117,16.500000000000004,1.5000000000000002
118,17.5,1.5000000000000002
119,18.5,1.5000000000000002
120,19.5,1.5000000000000002
121,20.5,1.5000000000000002
122,21.5,1.5000000000000002
123,22.5,1.5000000000000002
124,23.5,1.5000000000000002
125,24.5,1.5000000000000002
126,25.5,1.5000000000000002
127,26.500000000000004,1.5000000000000002
128,27.499999999999996,1.5000000000000002
129,28.5,1.5000000000000002
130,29.5,1.5000000000000002
131,30.5,1.5000000000000002
132,31.5,1.5000000000000002
133,32.50000000000001,1.5000000000000002
134,33.5,1.5000000000000002
135,34.5,1.5000000000000002
136,35.5,1.5000000000000002
137,36.5,1.5000000000000002
138,37.50000000000001,1.5000000000000002
139,38.5,1.5000000000000002
140,39.5,1.5000000000000002
141,40.5,1.5000000000000002
142,41.5,1.5000000000000002
143,42.5,1.5000000000000002
144,43.5,1.5000000000000002
145,44.5,1.5000000000000002
146,45.5,1.5000000000000002
147,46.5,1.5000000000000002
148,47.5,1.5000000000000002
149,48.5,1.5000000000000002
150,49.5,1.5000000000000002
151,50.5,1.5000000000000002
152,51.5,1.5000000000000002
153,52.50000000000001,1.5000000000000002
154,53.5,1.5000000000000002
155,54.49999999999999,1.5000000000000002
156,55.5,1.5000000000000002
157,56.5,1.5000000000000002
158,57.5,1.5000000000000002
159,58.5,1.5000000000000002
160,59.49999999999999,1.5000000000000002
161,60.5,1.5000000000000002
162,61.49999999999999,1.5000000000000002
163,62.5,1.5000000000000002
164,63.5,1.5000000000000002
165,64.50000000000001,1.5000000000000002
166,65.5,1.5000000000000002
167,66.5,1.5000000000000002
168,67.50000000000001,1.5000000000000002
169,68.5,1.5000000000000002
170,69.50000000000001,1.5000000000000002
171,70.5,1.5000000000000002
172,71.5,1.5000000000000002
173,72.5,1.5000000000000002
174,73.5,1.5000000000000002
175,74.50000000000001,1.5000000000000002
176,75.5,1.5000000000000002
177,76.5,1.5000000000000002
178,77.5,1.5000000000000002
179,78.5,1.5000000000000002
180,79.5,1.5000000000000002
181,80.5,1.5000000000000002
182,81.50000000000001,1.5000000000000002
183,82.5,1.5000000000000002
184,83.5,1.5000000000000002
185,84.5,1.5000000000000002
186,85.5,1.5000000000000002
187,86.5,1.5000000000000002
188,87.5,1.5000000000000002
189,88.5,1.5000000000000002
190,89.5,1.5000000000000002
191,90.5,1.5000000000000002
192,91.5,1.5000000000000002
193,92.5,1.5000000000000002
194,93.5,1.5000000000000002
195,94.5,1.5000000000000002
196,95.5,1.5000000000000002
197,96.5,1.5000000000000002
198,97.5,1.5000000000000002
199,98.5,1.5000000000000002
200,99.5,1.5000000000000002
201,0.5,2.5000000000000004
202,1.5000000000000002,2.5000000000000004
203,2.5000000000000004,2.5000000000000004
204,3.5,2.5000000000000004
205,4.500000000000001,2.5000000000000004
206,5.5,2.5000000000000004
207,6.5,2.5000000000000004
208,7.5,2.5000000000000004
209,8.500000000000002,2.5000000000000004
210,9.5,2.5000000000000004
211,10.5,2.5000000000000004
212,11.5,2.5000000000000004
213,12.5,2.5000000000000004
214,13.500000000000002,2.5000000000000004
215,14.5,2.5000000000000004
216,15.5,2.5000000000000004
217,16.500000000000004,2.5000000000000004
218,17.5,2.5000000000000004
219,18.5,2.5000000000000004
220,19.5,2.5000000000000004
221,20.5,2.5000000000000004
222,21.5,2.5000000000000004
223,22.5,2.5000000000000004
224,23.5,2.5000000000000004
225,24.5,2.5000000000000004
226,25.5,2.5000000000000004
227,26.500000000000004,2.5000000000000004
228,27.499999999999996,2.5000000000000004
229,28.5,2.5000000000000004
230,29.5,2.5000000000000004
231,30.5,2.5000000000000004
232,31.5,2.5000000000000004
233,32.50000000000001,2.5000000000000004
234,33.5,2.5000000000000004
235,34.5,2.5000000000000004
236,35.5,2.5000000000000004
237,36.5,2.5000000000000004
238,37.50000000000001,2.5000000000000004
239,38.5,2.5000000000000004
240,39.5,2.5000000000000004
241,40.5,2.5000000000000004
242,41.5,2.5000000000000004
243,42.5,2.5000000000000004
244,43.5,2.5000000000000004
245,44.5,2.5000000000000004
246,45.5,2.5000000000000004
247,46.5,2.5000000000000004
248,47.5,2.5000000000000004
249,48.5,2.5000000000000004
250,49.5,2.5000000000000004
251,50.5,2.5000000000000004
252,51.5,2.5000000000000004
253,52.50000000000001,2.5000000000000004
254,53.5,2.5000000000000004
255,54.49999999999999,2.5000000000000004
256,55.5,2.5000000000000004
257,56.5,2.5000000000000004
258,57.5,2.5000000000000004
259,58.5,2.5000000000000004
260,59.49999999999999,2.5000000000000004
261,60.5,2.5000000000000004
262,61.49999999999999,2.5000000000000004
263,62.5,2.5000000000000004
264,63.5,2.5000000000000004
265,64.50000000000001,2.5000000000000004
266,65.5,2.5000000000000004
267,66.5,2.5000000000000004
268,67.50000000000001,2.5000000000000004
269,68.5,2.5000000000000004
270,69.50000000000001,2.5000000000000004
271,70.5,2.5000000000000004
272,71.5,2.5000000000000004
273,72.5,2.5000000000000004
274,73.5,2.5000000000000004
275,74.50000000000001,2.5000000000000004
276,75.5,2.5000000000000004
277,76.5,2.5000000000000004
278,77.5,2.5000000000000004
279,78.5,2.5000000000000004
280,79.5,2.5000000000000004
281,80.5,2.5000000000000004
282,81.50000000000001,2.5000000000000004
283,82.5,2.5000000000000004
284,83.5,2.5000000000000004
285,84.5,2.5000000000000004
286,85.5,2.5000000000000004
287,86.5,2.5000000000000004
288,87.5,2.5000000000000004
289,88.5,2.5000000000000004
290,89.5,2.5000000000000004
291,90.5,2.5000000000000004
292,91.5,2.5000000000000004
293,92.5,2.5000000000000004
294,93.5,2.5000000000000004
295,94.5,2.5000000000000004
296,95.5,2.5000000000000004
